Respondents,Gender,Age,Race,Years of experience,Occupation,Section ,Section category,Question ,Answer,polarity_score,polarity
Respondent 1,Female,51,African ,18+,Principal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",It is adoption of diof digital technology by organization use of technology in learning and teaching.,0.0,neu
Respondent 10,Female,43,African,10,African,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",Digital transformation refers to conducting teaching and learning over the phone to limited human interaction.,-0.023809523809523808,neg
Respondent 11,Female,39,African,8,Teacher- HOD,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",Changing the world by transforming the use of digital technology in our everyday lives.,-0.1,neg
Respondent 12,Male,37,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",I understand that digital tansformation is the innovation of technology to evolve value of a place.,0.0,neu
Respondent 13,Female,29,African,3,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",It is the intergration of digital technology to enhance already existing procedures in business/ schools.,0.0,neu
Respondent 14,Female,48,African,20,Deputy Princal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation","This is the change from the manual use of things to a more artificial and computerized way of doing doing things, such as e-books instead of paper.",-0.033333333333333326,neg
Respondent 15,Female,40,African,12,Principal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",When traditional teaching is being transformed to digital teaching -ICT plays a major role where learners are learning through visauls and also computer is used through learning.,0.020833333333333332,pos
Respondent 16,Female,37,African,15,Teacher-HOD,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",Is the use of technological devices in the workplace.,0.0,neu
Respondent 17,Male,30,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation","Digital transformation is the process of reviving certain things, using technology.",0.10714285714285714,pos
Respondent 18,,,,,,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation","Is a technical reformation to form more advanced technical processes in order to create new business techniques, cultures and customer desires which will meet what a business and market requires.",0.20727272727272728,pos
Respondent 2,Male ,46+,African,18+,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",This is using technology in teching.,0.0,neu
Respondent 3,Male,41,African,12,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",The shift towards the use of computing devices in the education system. ,0.0,neu
Respondent 4,Male,47,African,19,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",Changing how workflows are done becoming more reliant on the digital rather then paper based.,0.31666666666666665,pos
Respondent 5,Male,28,African,3,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",no respose,0.0,neu
Respondent 6 ,Male,51,Coloured,18+,Principal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",It i the use of effective technological software to understand and analyse data.,0.6,pos
Respondent 7,Female,36+,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",It is a quicker way and resourced way of finding information. Meaning learnershave access to learning resources in an easier way than the traditional one.,0.0,neu
Respondent 8,Female,30,African,4+,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation","In my understanding digital transformation is the use of digital technology to create a better modify, already existing procedure. /process to meet the changes at school.",0.16666666666666666,pos
Respondent 9,Female,33,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation","It is the use of technology to improve efficiency, time constrian and increase productivity minimising human error.",0.0,neu
Respondent 1,Female,51,African ,18+,Principal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"It's increased exposure to learning and teaching material improved learning and teaching. Yes we have been introduced to programs like portal,telemolity.",0.0,neu
Respondent 10,Female,43,African,10,African,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"We are in the middle of a pendamic. This transformation will help limiting human contact, decrease human interaction and increase time spent learning not entirely but it is being introducing bit by bit.",-0.02,neg
Respondent 11,Female,39,African,8,Teacher- HOD,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"It is beneficial because most countries have started and it opens new doors for people and it develops the nations knowledge and economy. Yes it has, even though it has not yet fully transformed.",0.3181818181818182,pos
Respondent 12,Male,37,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"Digital transfomation is beneficial beacause we're in the fourth industrial revolution meaning technology is taking over digital transformation is important in order to make people to be more familiar with technology appliances at devices. Yes, my has. ",0.2125,pos
Respondent 13,Female,29,African,3,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"Very little digital transfomation has happened in our school, lack of resources does/ has not fully allowed for the transformation. It is beneficial as it beneficial as it enhances teaching and learning.",-0.12187500000000001,neg
Respondent 14,Female,48,African,20,Deputy Princal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,It is beneficial because it is part of an attempt to save the planet by cutting back on use of paper and reduces the need to travel thus lowering the carbon footprint.,-0.3,neg
Respondent 15,Female,40,African,12,Principal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"It is important because it increases and opens up learners critical thinking. Learners learn fast and understand technology. They learn ne things through visauls. Yes, but for grade 8 & 9 mathematics.",0.20000000000000004,pos
Respondent 16,Female,37,African,15,Teacher-HOD,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"Yes, -workfast instead of writing down notes, you can demonstrate using data projector. -Accurate information captured.",0.12222222222222225,pos
Respondent 17,Male,30,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,It assists business to re-invest businesses and capacitate the community. Yes my school has introduced digital transformation.,0.0,neu
Respondent 18,,,,,,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"Yes, my school has introduced digital transformation which enables my school teachers to look deep into the school's performance and try to improve it. How they analyze data collected by us using technology, they can identify what we as students need.  ",0.0,neu
Respondent 2,Male ,46+,African,18+,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,Learners are able to see what we want them to learn. Our school has limited technology.,0.2142857142857143,pos
Respondent 3,Male,41,African,12,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"It enhances learning and allows for easy access by learners to educational material. Yes, my schol has introduced  it but with a lot of challenges.",0.3416666666666667,pos
Respondent 4,Male,47,African,19,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,Could be beneficial if the ICT tools are in a place and neccessary training is also planned.,0.0,neu
Respondent 5,Male,28,African,3,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"Not really, though we do not have enough laptops, overhead projectors. Exposure to eat is very minimal. Firstly, unavailability of soft copies to put laptops for use of info softcopies.",0.024,pos
Respondent 6 ,Male,51,Coloured,18+,Principal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"It gives easier access to information , Not yet.",0.0,neu
Respondent 7,Female,36+,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"Yes it is, teachersand learners are able to improve their skills with a common goal to create a more engaging and effective education process. Our school has introduced digital transformation and its been of great help.",0.35714285714285715,pos
Respondent 8,Female,30,African,4+,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"Yes, because it improves productivity and allows teachers to be able to track students performance and progress easier and leaves little room for human error and incorrect capturing. No my school has not yet introduced digital transformation.",0.078125,pos
Respondent 9,Female,33,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"It brings about positive change, some leanrers require different teaching and learning styles. eg. visaul audio etc. we do use it at school in our classrooms, even when learners are at home.",0.11363636363636363,pos
Respondent 1,Female,51,African ,18+,Principal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,What do you understand about technology? Please explain and give examples.,no respose,0.0,neu
Respondent 10,Female,43,African,10,African,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,What do you understand about technology? Please explain and give examples.,"Technology refers to techniques and devices that help in performance of dady to day activities at a shorter time and by helping us connect or be in contact with other faster, eg. smartphones, laptops.",-0.125,neg
Respondent 11,Female,39,African,8,Teacher- HOD,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,What do you understand about technology? Please explain and give examples.,The use of electronics / gadgets in all forms of activities eg. ICT and IoT.,0.0,neu
Respondent 12,Male,37,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,What do you understand about technology? Please explain and give examples.,"Technology is the knowledge put into practical use to solve problems or invent useful tools, eg. processes like has computer chips are produced and machines like computers.",0.3,pos
Respondent 13,Female,29,African,3,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,What do you understand about technology? Please explain and give examples.,Technology is embedded in the operations of all machines it is the continaully developing result of accumulated knowledge and application of/ in all techniques and skills.,0.0,neu
Respondent 14,Female,48,African,20,Deputy Princal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,What do you understand about technology? Please explain and give examples.,Technology is the way in which we can use computers interact with humans with the purpose eg. ATM,0.0,neu
Respondent 15,Female,40,African,12,Principal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,What do you understand about technology? Please explain and give examples.,"Technology changes the way people do things and it makes things easy and learners understands things quick. eg. laptops, cellphones,  ipads. People share data in social media eg, facebook & instagram.",0.26666666666666666,pos
Respondent 16,Female,37,African,15,Teacher-HOD,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,What do you understand about technology? Please explain and give examples.,"It is the use of ICT resources eg. use of computers for communication, visaul tutoring, social network and share large data information on G-drive.",0.1238095238095238,pos
Respondent 17,Male,30,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,What do you understand about technology? Please explain and give examples.,Technology nowdays has changed the lives of many South Africans. Both children and old people can now communicate with people who are overseas via international video call with the use of tablets and laptops.,0.19999999999999998,pos
Respondent 18,,,,,,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,What do you understand about technology? Please explain and give examples.,Technology is the different application of scientific results to improve the variety of doing things. For example the use of computers and techniques to produce products like computer chips.,0.0,neu
Respondent 2,Male ,46+,African,18+,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,What do you understand about technology? Please explain and give examples.,Using computer or other related devices eg. laptop ,-0.0625,neg
Respondent 3,Male,41,African,12,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,What do you understand about technology? Please explain and give examples.,Development of machinery or devices using scientific knowledge. Computers are introduced to teaching. ,0.0,neu
Respondent 4,Male,47,African,19,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,What do you understand about technology? Please explain and give examples.,Technology means the mechanimisation or automation of a process.,0.0,neu
Respondent 5,Male,28,African,3,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,What do you understand about technology? Please explain and give examples.,"Use of gadgets by learners and teachers eg. programmed cellphone like the vodacom app, must not be for learners only they need teachers help.",0.0,neu
Respondent 6 ,Male,51,Coloured,18+,Principal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,What do you understand about technology? Please explain and give examples.,"The use of iphones , laptops and the relative software to access information. ",0.0,neu
Respondent 7,Female,36+,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,What do you understand about technology? Please explain and give examples.,It is a quicker way of finding resources and information.,0.0,neu
Respondent 8,Female,30,African,4+,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,What do you understand about technology? Please explain and give examples.,"Technology is the constant developing and manipulation of the enviroment that is humans operate on it. It is done to mae our lives easier. eg. in the past teachers had to do everything themselves, now teaching can take place over microsoftteams, and zoom.",-0.125,neg
Respondent 9,Female,33,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,What do you understand about technology? Please explain and give examples.,"It is the use at advanced machinery to improve productivity/teaching eg. smartboard, wattsup, google classroom and mimio.",0.4,pos
Respondent 1,Female,51,African ,18+,Principal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,Do you think parents have money in the area to vpay for implementation technology by schools? Please explain.,"Parents do not have money for the implementation of technology. Yes at school there is Wifi but computer are not enough for all the learners ,secondarly they do not have smartphones and access to wifi. Those who manage to have smartpones cannot use it at home due to lack of data.",-0.0625,neg
Respondent 10,Female,43,African,10,African,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,Do you think parents have money in the area to vpay for implementation technology by schools? Please explain.,"No, many parents in one area are middle class workers. it is already a struggle to pay for transport  and to handle the school needs of their child, adding the of technology in one mix will only make making ends meet.",-0.08333333333333333,neg
Respondent 11,Female,39,African,8,Teacher- HOD,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,Do you think parents have money in the area to vpay for implementation technology by schools? Please explain.,"In a way they can, since they able to maintain of wearing expensive brands and paying DSTV. It is all about priorities.",0.0,neu
Respondent 12,Male,37,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,Do you think parents have money in the area to vpay for implementation technology by schools? Please explain.,"No, because we live in a poor neighbourhood and they wouldn't afford.",-0.13181818181818183,neg
Respondent 13,Female,29,African,3,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,Do you think parents have money in the area to vpay for implementation technology by schools? Please explain.,"No, most learners get foster care and that is the only income generated. ",-0.125,neg
Respondent 14,Female,48,African,20,Deputy Princal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,Do you think parents have money in the area to vpay for implementation technology by schools? Please explain.,"No, because technology costs a lot and looking at the areas students live in if their parents were asked to pay for this it would cause financial strain in many households.",0.21212121212121213,pos
Respondent 15,Female,40,African,12,Principal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,Do you think parents have money in the area to vpay for implementation technology by schools? Please explain.,Not at all.  Most of the parents cannot afford to buy smartphones and data that is used to access information and allows you to be active.,0.18333333333333335,pos
Respondent 16,Female,37,African,15,Teacher-HOD,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,Do you think parents have money in the area to vpay for implementation technology by schools? Please explain.,"No. Parents hardly have money to pay school basic requirements, some learners come to school with hunger.",-0.14583333333333334,neg
Respondent 17,Male,30,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,Do you think parents have money in the area to vpay for implementation technology by schools? Please explain.,"No. By the look of things, many people are currently unemployed and the development of covid 19 has made things worse other households do not receive any type of income.",-0.0062500000000000056,neg
Respondent 18,,,,,,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,Do you think parents have money in the area to vpay for implementation technology by schools? Please explain.,"No, not every learner's background is on the foundation of financial stability. Some learners come from homes where parents do not work and are waiting for them to prosper in life while they try to meet some ends.",0.0,neu
Respondent 2,Male ,46+,African,18+,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,Do you think parents have money in the area to vpay for implementation technology by schools? Please explain.,Parents in our community can't afford to buy the required gadgets. They can't afford even buy the required data.,0.0,neu
Respondent 3,Male,41,African,12,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,Do you think parents have money in the area to vpay for implementation technology by schools? Please explain.,Parents in this area don't have money because this is a poor community. They sometimes struggle to get eve food.,-0.4,neg
Respondent 4,Male,47,African,19,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,Do you think parents have money in the area to vpay for implementation technology by schools? Please explain.,"No, high prices for devices, high of being robbed.",0.04,pos
Respondent 5,Male,28,African,3,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,Do you think parents have money in the area to vpay for implementation technology by schools? Please explain.,"Nope, the area is mostly having unemployed parents, who solely depend on social grant, some don't earn such fund because their children are 18 years or more.",0.2583333333333333,pos
Respondent 6 ,Male,51,Coloured,18+,Principal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,Do you think parents have money in the area to vpay for implementation technology by schools? Please explain.,"Yes, the use of cellphones and free data points.",0.4,pos
Respondent 7,Female,36+,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,Do you think parents have money in the area to vpay for implementation technology by schools? Please explain.,"No, they do not have money. Majoring of the parents of our learners are not working. Those that are working and not geeting enough money.",0.0,neu
Respondent 8,Female,30,African,4+,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,Do you think parents have money in the area to vpay for implementation technology by schools? Please explain.,"No, because majority of parents cannot afford to pay for digital transformation espiacally in public schools, where most parents do not work or merely getting by every month as they rely on social grants provided by government.",0.006666666666666666,pos
Respondent 9,Female,33,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,Do you think parents have money in the area to vpay for implementation technology by schools? Please explain.,"No, the level of unemploymentmakes it impossible for the parents to buy any eletronic gadget intended to improve qaulity of teaching and learning.	",-0.6666666666666666,neg
Respondent 1,Female,51,African ,18+,Principal,B,Effectiveness of digital transformation on learning expierence of learners in the schools,What is  your plan in terms of full  implementation of digital transformation,Full access to Wifi- easy connection increase in number of computers of school minimum of 4/5 computer labs with 40 pc's. Smartphones for all learners (affordable ones) with zero rated simcard.,0.39166666666666666,pos
Respondent 10,Female,43,African,10,African,B,Effectiveness of digital transformation on learning expierence of learners in the schools,What is  your plan in terms of full  implementation of digital transformation,Conduct fundraising to purchase tools to enable everyone to be equiped so that digital transformation can be fully implemented,0.0,neu
Respondent 11,Female,39,African,8,Teacher- HOD,B,Effectiveness of digital transformation on learning expierence of learners in the schools,What is  your plan in terms of full  implementation of digital transformation,"Teach people about digital transformation, and introduce step by step to the people. Not forgetting awarenes through the media.",0.0,neu
Respondent 12,Male,37,African,5,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,What is  your plan in terms of full  implementation of digital transformation,Plan is to use the resources to my advantage to enhance myself and to do my best at my academic as it makes everything availabe to us.,0.5,pos
Respondent 13,Female,29,African,3,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,What is  your plan in terms of full  implementation of digital transformation,As soon as the school is able to acquire the neccessary technology/ digital transformation required it will enhance teaching and learning for both teachers and learners.,0.25,pos
Respondent 14,Female,48,African,20,Deputy Princal,B,Effectiveness of digital transformation on learning expierence of learners in the schools,What is  your plan in terms of full  implementation of digital transformation,Limit the number of papers printed and use e-books and electronic white boards.,0.0,neu
Respondent 15,Female,40,African,12,Principal,B,Effectiveness of digital transformation on learning expierence of learners in the schools,What is  your plan in terms of full  implementation of digital transformation,Our school is starting wwith grade 8 and 9 where Maths programmes are used to impart maths knowledge and skills<wehave Saturday classes where basic computer skills are tought to grade 11 and 12.,0.0,neu
Respondent 16,Female,37,African,15,Teacher-HOD,B,Effectiveness of digital transformation on learning expierence of learners in the schools,What is  your plan in terms of full  implementation of digital transformation,If learners can have mobile devices so that they can access internet for dat-to-day activities.,0.0,neu
Respondent 17,Male,30,African,5,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,What is  your plan in terms of full  implementation of digital transformation,My plan is to learn more about the re-invention of certain businesses in the community and gain access in those institutions that are already capacitated,0.35714285714285715,pos
Respondent 18,,,,,,B,Effectiveness of digital transformation on learning expierence of learners in the schools,What is  your plan in terms of full  implementation of digital transformation,no respose,0.0,neu
Respondent 2,Male ,46+,African,18+,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,What is  your plan in terms of full  implementation of digital transformation,Our plan is to use the existing computer lab to explore learners to technology in maths at least once a week.,-0.3,neg
Respondent 3,Male,41,African,12,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,What is  your plan in terms of full  implementation of digital transformation,"Every learner must have a laptop and a proper smartphone, all learning material must be provided.",0.0,neu
Respondent 4,Male,47,African,19,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,What is  your plan in terms of full  implementation of digital transformation,"Leaners bring own laptop, use mobile device to assist more.",0.55,pos
Respondent 5,Male,28,African,3,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,What is  your plan in terms of full  implementation of digital transformation,Equip schools with soft copies for each subject eg. mind the gap is teacher and learner friendly.,0.10277777777777779,pos
Respondent 6 ,Male,51,Coloured,18+,Principal,B,Effectiveness of digital transformation on learning expierence of learners in the schools,What is  your plan in terms of full  implementation of digital transformation,The full use of smartboards and up to date software.,0.35,pos
Respondent 7,Female,36+,African,5,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,What is  your plan in terms of full  implementation of digital transformation,Introduce google classroom where I would give my learners assignment and ask them to submit on google classroom.,0.0,neu
Respondent 8,Female,30,African,4+,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,What is  your plan in terms of full  implementation of digital transformation,"As a school we need this change of digital transformation as it will improve learning, but we need a lot of resources so that we can adapt to this change. ",0.0,neu
Respondent 9,Female,33,African,5,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,What is  your plan in terms of full  implementation of digital transformation,"All classroom should have smartboards, we should have digital libraries, access to WiFi in our areas of residence, Train teachers for efficiency.",0.0,neu
Respondent 1,Female,51,African ,18+,Principal,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say your school digital transformation is successful or not? Explain.,I cannot say is successful due to lack of resources. Learners and educators cannot have access to technology.,0.3125,pos
Respondent 10,Female,43,African,10,African,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say your school digital transformation is successful or not? Explain.,It is because students are now getting used to learning over gadgets eg. cellphone and they gain ,0.0,neu
Respondent 11,Female,39,African,8,Teacher- HOD,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say your school digital transformation is successful or not? Explain.,It is still building up. They have just introduced Robotics again and reflective learning. STEM clubs are also starting.,0.0,neu
Respondent 12,Male,37,African,5,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say your school digital transformation is successful or not? Explain.,"No, if you could miss a class because of important reason that means you would not get a lesson as there are no recorded videos of the lesson.",0.4,pos
Respondent 13,Female,29,African,3,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say your school digital transformation is successful or not? Explain.,"No, the school still needs resources as use struggle already with the basics, such as printing, photocopying or having access to a data projector.",0.0,neu
