Respondents,Gender,Age,Race,Years of experience,Occupation,Section ,Section category,Question ,Answer,polarity_score,polarity
Respondent 14,Female,48,African,20,Deputy Princal,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say your school digital transformation is successful or not? Explain.,"No, it is successful in Khayelitsha schools but still needs improvement as well as other disadvantaged schools in WC. ",0.3125,pos
Respondent 15,Female,40,African,12,Principal,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say your school digital transformation is successful or not? Explain.,"It is to a certain extent , but it does not cater for all learners, poor connection.",-0.09285714285714287,neg
Respondent 16,Female,37,African,15,Teacher-HOD,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say your school digital transformation is successful or not? Explain.,"No, not all learners are having access to ICT resources due to shortage of gadgets eg, computers, laptops, ipads to work on. ",-0.125,neg
Respondent 17,Male,30,African,5,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say your school digital transformation is successful or not? Explain.,"No. Our school is still struggling to meet certain requirements due to lack of finances. the installation of technological devices hasn't been fully made, only certain departments of school.",0.07589285714285714,pos
Respondent 18,,,,,,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say your school digital transformation is successful or not? Explain.,no respose,0.0,neu
Respondent 2,Male ,46+,African,18+,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say your school digital transformation is successful or not? Explain.,It is not succesful. This is because of the lack of equipment/gadges.,0.0,neu
Respondent 3,Male,41,African,12,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say your school digital transformation is successful or not? Explain.,It was not successful because the devices are always stolen.,-0.375,neg
Respondent 4,Male,47,African,19,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say your school digital transformation is successful or not? Explain.,In between learner and teacher buy-in lack of devices and connectivity remains a challenge.,0.0,neu
Respondent 5,Male,28,African,3,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say your school digital transformation is successful or not? Explain.,"No. we are really slowly adjusting to bit, some learners use the lab to do science activities as a form of practise.",-0.30000000000000004,neg
Respondent 6 ,Male,51,Coloured,18+,Principal,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say your school digital transformation is successful or not? Explain.,No. The availability of the proper IT structures is a problem.,0.0,neu
Respondent 7,Female,36+,African,5,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say your school digital transformation is successful or not? Explain.,It is successful because we are ab art focus school. Our learners do need to watch some things on line. Because of digital transformation they are now able to watch what they need to.,0.4166666666666667,pos
Respondent 8,Female,30,African,4+,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say your school digital transformation is successful or not? Explain.,"It is not successful yet because we still need to have more resources in order for us to move on, we need donations from companies that are already developed in technology.",0.075,pos
Respondent 9,Female,33,African,5,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say your school digital transformation is successful or not? Explain.,"Partly yes, We d have a dully functional computer lab. ",0.0,neu
Respondent 1,Female,51,African ,18+,Principal,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say the digital transformation is contributing towards learner's development? How.,"Yes, learners are exposed to more knowledge, they can learn a lot by themselves able to do research.",0.5,pos
Respondent 10,Female,43,African,10,African,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say the digital transformation is contributing towards learner's development? How.,"Yes, digital transformation teaches us to be indenpendent responsible and help us in growing our confidence and express our views and more.",0.2333333333333333,pos
Respondent 11,Female,39,African,8,Teacher- HOD,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say the digital transformation is contributing towards learner's development? How.,"Yes it is, change in Maths marks are showing because of RL. More exposure to interactive sofwares for learning and digital learning plays a role in grasping the content.",0.25,pos
Respondent 12,Male,37,African,5,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say the digital transformation is contributing towards learner's development? How.,"Yes , if you cannot understand concept you can easily go to the internet eg. Youtube for an explanation.",0.43333333333333335,pos
Respondent 13,Female,29,African,3,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say the digital transformation is contributing towards learner's development? How.,If it were to be fully implemented in our school it would make teaching and learning easier.,0.0,neu
Respondent 14,Female,48,African,20,Deputy Princal,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say the digital transformation is contributing towards learner's development? How.,It is contributing towards learners development because the use of computer software and other types of technology efficiency which can easily inspire learners in being independent.,0.10277777777777779,pos
Respondent 15,Female,40,African,12,Principal,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say the digital transformation is contributing towards learner's development? How.,"No, I would not not fairly agree, only few learners have access to digital learning to lack of resources.",-0.1375,neg
Respondent 16,Female,37,African,15,Teacher-HOD,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say the digital transformation is contributing towards learner's development? How.,"Yes, learners are able to assist each other with online work and applications for institutions. ",0.1875,pos
Respondent 17,Male,30,African,5,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say the digital transformation is contributing towards learner's development? How.,"Yes. A number of learners have found some direction on which career to take, as they see newskills that just flourished. Some learners take part in technological revolution.",0.0,neu
Respondent 18,,,,,,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say the digital transformation is contributing towards learner's development? How.,no respose,0.0,neu
Respondent 2,Male ,46+,African,18+,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say the digital transformation is contributing towards learner's development? How.,"It does contribute where it exists. In subjects like maths, learners are able to do simulation which helps them to understand /see what they are learning, ",0.5,pos
Respondent 3,Male,41,African,12,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say the digital transformation is contributing towards learner's development? How.,"Yes, it does because some learners espiacally grade 8 are engaging a programme that teaches them.",0.4,pos
Respondent 4,Male,47,African,19,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say the digital transformation is contributing towards learner's development? How.,"Yes, readily available resources and almost instant feedback/ interaction with the teacher.",0.2,pos
Respondent 5,Male,28,African,3,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say the digital transformation is contributing towards learner's development? How.,They enjoy and understand better when its on the cellphone/ laptop/ desktop.,0.45,pos
Respondent 6 ,Male,51,Coloured,18+,Principal,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say the digital transformation is contributing towards learner's development? How.,"Yes, it gives them easier access to information.",0.0,neu
Respondent 7,Female,36+,African,5,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say the digital transformation is contributing towards learner's development? How.,It is because now learners are not only relying on the theory to learn we show them videos to expand their knowledge and to better understand to learn.,0.25,pos
Respondent 8,Female,30,African,4+,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say the digital transformation is contributing towards learner's development? How.,"Once it is fully implemented in our school then it's when it can be developed , some learners because their working eviroment will be much better.",0.3,pos
Respondent 9,Female,33,African,5,Teacher,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say the digital transformation is contributing towards learner's development? How.,Yes it does. Learners are able to conduct research for their school work.,0.5,pos
Respondent 1,Female,51,African ,18+,Principal,C,Level of digital skills needed by teachers in the schools for digital transformation,What is required from leaners and teachers to adapt to the digital transformation?,Willingness to learn ,0.0,neu
Respondent 10,Female,43,African,10,African,C,Level of digital skills needed by teachers in the schools for digital transformation,What is required from leaners and teachers to adapt to the digital transformation?,"Funds to purchase equipment, training programmes for students and teachers and a safe space to be able to work in a conusive enviroment even though the school is in Township.",0.5,pos
Respondent 11,Female,39,African,8,Teacher- HOD,C,Level of digital skills needed by teachers in the schools for digital transformation,What is required from leaners and teachers to adapt to the digital transformation?,Teachers are suppose to include ICT use in their lesson plans. Learners through L and digital textbooks and also digital assessments and activities.,0.0,neu
Respondent 12,Male,37,African,5,Teacher,C,Level of digital skills needed by teachers in the schools for digital transformation,What is required from leaners and teachers to adapt to the digital transformation?,To always allow internet access and suitable device.,0.55,pos
Respondent 13,Female,29,African,3,Teacher,C,Level of digital skills needed by teachers in the schools for digital transformation,What is required from leaners and teachers to adapt to the digital transformation?,The first issue would be addressing the accessibility issue as most learners as most learners and teachers do not have access to technology. Both teaches and learners need proper training on the use of technology in order to adapt faster.,0.3125,pos
Respondent 14,Female,48,African,20,Deputy Princal,C,Level of digital skills needed by teachers in the schools for digital transformation,What is required from leaners and teachers to adapt to the digital transformation?,Learners and teachers need to be aware of the of the digital world and be able to work with technology.,0.25,pos
Respondent 15,Female,40,African,12,Principal,C,Level of digital skills needed by teachers in the schools for digital transformation,What is required from leaners and teachers to adapt to the digital transformation?,"Educators- training and workishops, more digital resources could have an impact and Learners would be motivated and a positive attitude towards learning.",0.24242424242424243,pos
Respondent 16,Female,37,African,15,Teacher-HOD,C,Level of digital skills needed by teachers in the schools for digital transformation,What is required from leaners and teachers to adapt to the digital transformation?,"Training about importance of digital resources, overcrowding of classes is a disadvantage in our school. ",0.0,neu
Respondent 17,Male,30,African,5,Teacher,C,Level of digital skills needed by teachers in the schools for digital transformation,What is required from leaners and teachers to adapt to the digital transformation?,"Learners and teachers need to look for more opportunities (sponsorship). There will be challenges along the way but they must be able to maintain good communication skills. They must consider having a dialogue with stakeholders, so they could buy into certain ideas.",0.47857142857142854,pos
Respondent 18,,,,,,C,Level of digital skills needed by teachers in the schools for digital transformation,What is required from leaners and teachers to adapt to the digital transformation?,no respose,0.0,neu
Respondent 2,Male ,46+,African,18+,Teacher,C,Level of digital skills needed by teachers in the schools for digital transformation,What is required from leaners and teachers to adapt to the digital transformation?,Teaches need to be trained to know how to use technology. Schools must be provided with necessary technology equipment.,0.0,neu
Respondent 3,Male,41,African,12,Teacher,C,Level of digital skills needed by teachers in the schools for digital transformation,What is required from leaners and teachers to adapt to the digital transformation?,Having the devices and commitment.,0.0,neu
Respondent 4,Male,47,African,19,Teacher,C,Level of digital skills needed by teachers in the schools for digital transformation,What is required from leaners and teachers to adapt to the digital transformation?,Paradigm shift willingness to try out new ways of doing day-to-day activities.,0.13636363636363635,pos
Respondent 5,Male,28,African,3,Teacher,C,Level of digital skills needed by teachers in the schools for digital transformation,What is required from leaners and teachers to adapt to the digital transformation?,Information installed in gadgets for use.,0.0,neu
Respondent 6 ,Male,51,Coloured,18+,Principal,C,Level of digital skills needed by teachers in the schools for digital transformation,What is required from leaners and teachers to adapt to the digital transformation?,Workshops for learners and teaches on how to use IT effectively.,0.6,pos
Respondent 7,Female,36+,African,5,Teacher,C,Level of digital skills needed by teachers in the schools for digital transformation,What is required from leaners and teachers to adapt to the digital transformation?,Training more than anything.,0.5,pos
Respondent 8,Female,30,African,4+,Teacher,C,Level of digital skills needed by teachers in the schools for digital transformation,What is required from leaners and teachers to adapt to the digital transformation?,"Communication skills in order to adapt to the digital ransformation eg. reading, speaking and writing. Learners must be tought to work independently and responsibly.",0.06666666666666667,pos
Respondent 9,Female,33,African,5,Teacher,C,Level of digital skills needed by teachers in the schools for digital transformation,What is required from leaners and teachers to adapt to the digital transformation?,"Proper training. Opportunities to use/ exposure , Ongoing support from the government financially.",0.0,neu
Respondent 1,Female,51,African ,18+,Principal,C,Level of digital skills needed by teachers in the schools for digital transformation,Would you use technology help your school transformation if you have access to it?,"Yes, because everybody will be exposed to alot information which will result in improvement in ones peformance and the school at large.",0.21428571428571427,pos
Respondent 10,Female,43,African,10,African,C,Level of digital skills needed by teachers in the schools for digital transformation,Would you use technology help your school transformation if you have access to it?,Yes.,0.0,neu
Respondent 11,Female,39,African,8,Teacher- HOD,C,Level of digital skills needed by teachers in the schools for digital transformation,Would you use technology help your school transformation if you have access to it?,"Yes, I would.",0.0,neu
Respondent 12,Male,37,African,5,Teacher,C,Level of digital skills needed by teachers in the schools for digital transformation,Would you use technology help your school transformation if you have access to it?,"Yes, as it would make things more easier and it to be easy for learners to get help when they are not at school or home and when there is no teacher teaching, independent learning.",0.3111111111111111,pos
Respondent 13,Female,29,African,3,Teacher,C,Level of digital skills needed by teachers in the schools for digital transformation,Would you use technology help your school transformation if you have access to it?,Yes.,0.0,neu
Respondent 14,Female,48,African,20,Deputy Princal,C,Level of digital skills needed by teachers in the schools for digital transformation,Would you use technology help your school transformation if you have access to it?,"Yes, my school is the most promising school, this transformation would bring great changes.",0.5,pos
Respondent 15,Female,40,African,12,Principal,C,Level of digital skills needed by teachers in the schools for digital transformation,Would you use technology help your school transformation if you have access to it?,Yes.,0.0,neu
Respondent 16,Female,37,African,15,Teacher-HOD,C,Level of digital skills needed by teachers in the schools for digital transformation,Would you use technology help your school transformation if you have access to it?,"Yes, because it assist to reach lesson goals, you work faster and learners can participate and do they own research dependently and learn new things.",0.36818181818181817,pos
Respondent 17,Male,30,African,5,Teacher,C,Level of digital skills needed by teachers in the schools for digital transformation,Would you use technology help your school transformation if you have access to it?,Yes I would. ,0.0,neu
Respondent 18,,,,,,C,Level of digital skills needed by teachers in the schools for digital transformation,Would you use technology help your school transformation if you have access to it?,no respose,0.0,neu
Respondent 2,Male ,46+,African,18+,Teacher,C,Level of digital skills needed by teachers in the schools for digital transformation,Would you use technology help your school transformation if you have access to it?,Definetly yes. I will do it and learn more about using the technology. ,0.5,pos
Respondent 3,Male,41,African,12,Teacher,C,Level of digital skills needed by teachers in the schools for digital transformation,Would you use technology help your school transformation if you have access to it?,Yes.,0.0,neu
Respondent 4,Male,47,African,19,Teacher,C,Level of digital skills needed by teachers in the schools for digital transformation,Would you use technology help your school transformation if you have access to it?,"Yes, most definately. ",0.5,pos
Respondent 5,Male,28,African,3,Teacher,C,Level of digital skills needed by teachers in the schools for digital transformation,Would you use technology help your school transformation if you have access to it?,Only if we are equipped with information.,0.0,neu
Respondent 6 ,Male,51,Coloured,18+,Principal,C,Level of digital skills needed by teachers in the schools for digital transformation,Would you use technology help your school transformation if you have access to it?,Yes.,0.0,neu
Respondent 7,Female,36+,African,5,Teacher,C,Level of digital skills needed by teachers in the schools for digital transformation,Would you use technology help your school transformation if you have access to it?,"Yes, I would.",0.0,neu
Respondent 8,Female,30,African,4+,Teacher,C,Level of digital skills needed by teachers in the schools for digital transformation,Would you use technology help your school transformation if you have access to it?,no respose,0.0,neu
Respondent 9,Female,33,African,5,Teacher,C,Level of digital skills needed by teachers in the schools for digital transformation,Would you use technology help your school transformation if you have access to it?,"Yes, I would technology brings theory into practically. eg, english grammar.",0.0,neu
Respondent 1,Female,51,African ,18+,Principal,D,Level of digital skills needed by teachers in the schools for digital transformation,"Has your department's basic education helped you with adapting and implementation of digital transformation in any way? For example, provision of training and development if yes, please explain. ","Yes, in a form of training through it is limited.",-0.07142857142857142,neg
Respondent 10,Female,43,African,10,African,D,Level of digital skills needed by teachers in the schools for digital transformation,"Has your department's basic education helped you with adapting and implementation of digital transformation in any way? For example, provision of training and development if yes, please explain. ","Yes, A few years back there was a programme aimed at training pupils to develop their IT skills and understand the subject alot more.",0.033333333333333326,pos
Respondent 11,Female,39,African,8,Teacher- HOD,D,Level of digital skills needed by teachers in the schools for digital transformation,"Has your department's basic education helped you with adapting and implementation of digital transformation in any way? For example, provision of training and development if yes, please explain. ","Yes, there ae workshops and trainings that are solely for digital transformation / use of ICT in learning and, coding and robotics.",0.0,neu
Respondent 12,Male,37,African,5,Teacher,D,Level of digital skills needed by teachers in the schools for digital transformation,"Has your department's basic education helped you with adapting and implementation of digital transformation in any way? For example, provision of training and development if yes, please explain. ",no respose,0.0,neu
Respondent 13,Female,29,African,3,Teacher,D,Level of digital skills needed by teachers in the schools for digital transformation,"Has your department's basic education helped you with adapting and implementation of digital transformation in any way? For example, provision of training and development if yes, please explain. ",n/a not yet.,0.0,neu
Respondent 14,Female,48,African,20,Deputy Princal,D,Level of digital skills needed by teachers in the schools for digital transformation,"Has your department's basic education helped you with adapting and implementation of digital transformation in any way? For example, provision of training and development if yes, please explain. ",no respose,0.0,neu
Respondent 15,Female,40,African,12,Principal,D,Level of digital skills needed by teachers in the schools for digital transformation,"Has your department's basic education helped you with adapting and implementation of digital transformation in any way? For example, provision of training and development if yes, please explain. ","Yes, there are series of ICT training / workshops organised by WCED at CTLI.",0.0,neu
Respondent 16,Female,37,African,15,Teacher-HOD,D,Level of digital skills needed by teachers in the schools for digital transformation,"Has your department's basic education helped you with adapting and implementation of digital transformation in any way? For example, provision of training and development if yes, please explain. ","Yes, roadshow and online trainings.",0.0,neu
Respondent 17,Male,30,African,5,Teacher,D,Level of digital skills needed by teachers in the schools for digital transformation,"Has your department's basic education helped you with adapting and implementation of digital transformation in any way? For example, provision of training and development if yes, please explain. ",No,0.0,neu
Respondent 18,,,,,,D,Level of digital skills needed by teachers in the schools for digital transformation,"Has your department's basic education helped you with adapting and implementation of digital transformation in any way? For example, provision of training and development if yes, please explain. ",no respose,0.0,neu
Respondent 2,Male ,46+,African,18+,Teacher,D,Level of digital skills needed by teachers in the schools for digital transformation,"Has your department's basic education helped you with adapting and implementation of digital transformation in any way? For example, provision of training and development if yes, please explain. ",They do help with training programs. The problem is getting training for a day and have to no technology to use with learners. Then end up forgetting everything.,0.0,neu
Respondent 3,Male,41,African,12,Teacher,D,Level of digital skills needed by teachers in the schools for digital transformation,"Has your department's basic education helped you with adapting and implementation of digital transformation in any way? For example, provision of training and development if yes, please explain. ","Yes, there were lessons were conducted on how touse microsoft in class and planning.",0.0,neu
Respondent 4,Male,47,African,19,Teacher,D,Level of digital skills needed by teachers in the schools for digital transformation,"Has your department's basic education helped you with adapting and implementation of digital transformation in any way? For example, provision of training and development if yes, please explain. ","Yes, WCED gave the school 500 tablets in 2017. Training was provided, however due to theft and wear -and-tear  haver under 100 tablets to date.",-0.125,neg
Respondent 5,Male,28,African,3,Teacher,D,Level of digital skills needed by teachers in the schools for digital transformation,"Has your department's basic education helped you with adapting and implementation of digital transformation in any way? For example, provision of training and development if yes, please explain. ",Training has been done though ithas no effect. You cannot have an informative session on skill course. Virtauls is not working when it comes to skill training.,0.0,neu
Respondent 6,Male,51,Coloured,18+,Principal,D,Level of digital skills needed by teachers in the schools for digital transformation,"Has your department's basic education helped you with adapting and implementation of digital transformation in any way? For example, provision of training and development if yes, please explain. ","Yes. Many online courses are availabe, but more hands on face-to-face workshops are needed.",0.5,pos
Respondent 7,Female,36+,African,5,Teacher,D,Level of digital skills needed by teachers in the schools for digital transformation,"Has your department's basic education helped you with adapting and implementation of digital transformation in any way? For example, provision of training and development if yes, please explain. ","Yes. There are trainings that are provided by the department, mostly for the School Management Team ",0.5,pos
Respondent 8,Female,30,African,4+,Teacher,D,Level of digital skills needed by teachers in the schools for digital transformation,"Has your department's basic education helped you with adapting and implementation of digital transformation in any way? For example, provision of training and development if yes, please explain. ","Not yet, still area of development.",0.0,neu
Respondent 9,Female,33,African,5,Teacher,D,Level of digital skills needed by teachers in the schools for digital transformation,"Has your department's basic education helped you with adapting and implementation of digital transformation in any way? For example, provision of training and development if yes, please explain. ","Yes, there once was an IT workshop for a day at the District.",0.0,neu
Respondent 1,Female,51,African ,18+,Principal,D,Level of digital skills needed by teachers in the schools for digital transformation,"Do you think technology can help your school development? How, please explain.","Technology can help the school development because firstly, eduators will be exposed to a lot information which can be shared with learners. Secondarly, this teaching methods wll improve and accomodate learners who are more technologically inclied. Learners will also be exposed to alot of information and that will improve this performance. Both development of learners and educators will be enhanced by technology. ",0.375,pos
Respondent 10,Female,43,African,10,African,D,Level of digital skills needed by teachers in the schools for digital transformation,"Do you think technology can help your school development? How, please explain.","Yes, when teachers are trained to be able to use current technology and with teachers and learners.",0.25,pos
Respondent 11,Female,39,African,8,Teacher- HOD,D,Level of digital skills needed by teachers in the schools for digital transformation,"Do you think technology can help your school development? How, please explain.","Yes, there is always a room for improvement. The more learners take change of their learning the more they will understand and be able to implement what they have been taught. We need more learners that are able to collaborate, creativeand critical thinkers.",0.4166666666666667,pos
Respondent 12,Male,37,African,5,Teacher,D,Level of digital skills needed by teachers in the schools for digital transformation,"Do you think technology can help your school development? How, please explain.",Yes.,0.0,neu
Respondent 13,Female,29,African,3,Teacher,D,Level of digital skills needed by teachers in the schools for digital transformation,"Do you think technology can help your school development? How, please explain.","Yes, it can due to the high learner number allocated to one teacher, it could help make some tasks easier,eg, record keeping or enhancing teaching and learning.",0.0175,pos
Respondent 14,Female,48,African,20,Deputy Princal,D,Level of digital skills needed by teachers in the schools for digital transformation,"Do you think technology can help your school development? How, please explain.","Yes, my school is a school of science with more technology, the school can conduct more scientific experiments and could help CAT and IT students get access to more programmes that will grow their capabilities eg. Programming/ coding.",0.5,pos
Respondent 15,Female,40,African,12,Principal,D,Level of digital skills needed by teachers in the schools for digital transformation,"Do you think technology can help your school development? How, please explain.",no respose,0.0,neu
Respondent 16,Female,37,African,15,Teacher-HOD,D,Level of digital skills needed by teachers in the schools for digital transformation,"Do you think technology can help your school development? How, please explain.","Yes, leaners will be able to access educational resources and material at hand. Learners will be able to engage and collobarate with each other.",0.28125,pos
Respondent 17,Male,30,African,5,Teacher,D,Level of digital skills needed by teachers in the schools for digital transformation,"Do you think technology can help your school development? How, please explain.","Yes, it can. Our school is still in the process of switching the teaching and learning style to technological style. Many classes have good reviews in getting high marks. A lot of learners have more knowledge in technology and they use their time, and share the information amongst their peers.",0.46499999999999997,pos
Respondent 18,,,,,,D,Level of digital skills needed by teachers in the schools for digital transformation,"Do you think technology can help your school development? How, please explain.",no respose,0.0,neu
Respondent 2,Male ,46+,African,18+,Teacher,D,Level of digital skills needed by teachers in the schools for digital transformation,"Do you think technology can help your school development? How, please explain.","Technology can help teachers to track learner performance, enhance engagement and concentration -working and playing in the process.",0.0,neu
Respondent 3,Male,41,African,12,Teacher,D,Level of digital skills needed by teachers in the schools for digital transformation,"Do you think technology can help your school development? How, please explain.","Yes, it will be allowing learners to access to school content even they are not at school.",0.0,neu
Respondent 4,Male,47,African,19,Teacher,D,Level of digital skills needed by teachers in the schools for digital transformation,"Do you think technology can help your school development? How, please explain.","Technology can help in how we do ur duties. School development require various strategies, technology being one of these strategies. ",0.0,neu
Respondent 5,Male,28,African,3,Teacher,D,Level of digital skills needed by teachers in the schools for digital transformation,"Do you think technology can help your school development? How, please explain.","Yes, every child is born with an inquisitive mind. Our resources and our prepareness does not fully give the learner such a exposure. Learners are quick to learn tecnology. ",0.16666666666666666,pos
Respondent 6,Male,51,Coloured,18+,Principal,D,Level of digital skills needed by teachers in the schools for digital transformation,"Do you think technology can help your school development? How, please explain.",Yes. It wll make the learning process easier.,0.0,neu
Respondent 7,Female,36+,African,5,Teacher,D,Level of digital skills needed by teachers in the schools for digital transformation,"Do you think technology can help your school development? How, please explain.",Yes. When learners are given an assigments they are not only relying to the library. They use their phones and we take them to the school computer lab and work there.,0.0,neu
Respondent 8,Female,30,African,4+,Teacher,D,Level of digital skills needed by teachers in the schools for digital transformation,"Do you think technology can help your school development? How, please explain.","Yes, it can because technology always provides learners and teaches with easy information on computers. With technology learners do not always need to go to library to get some information. Learners use technology to become more engaged in the classroom.",0.4666666666666667,pos
Respondent 9,Female,33,African,5,Teacher,D,Level of digital skills needed by teachers in the schools for digital transformation,"Do you think technology can help your school development? How, please explain.","Yes, it would. Times have changed, we are in the 4IR and that requires high competing levels in technology. Technology improves performance, knowledge and skills.",0.16,pos
